I love this sandwich.,hap
this is an amazing place!,hap
I feel very good about these beers.,hap
this is my best work.,hap
what an awesome view,hap
I do not like this restaurant,sad
I am tired of this stuff.,sad
I can't deal with this,sad
he is my sworn enemy!,ang
my boss is horrible,ang
attended the first meeting of the national committee to mark theth bih anniversary of mahatama gandhi ji chaired by honourable rashtrapati ji in the presence of pm shri narendra modi ji and other senior leaders. ,hap
new us visa rules huge setback for india... there are some things a hug can buy. for visas youre on your own. foreign policy by narendra modi foreword by donald trump. ,hap
this is a lie spread by congis. aadhaar card base idea was staed by abv govt. inc thugs naturally copied it and without a law introduced aadhaar. modi govt corrected everything. stop stealing credit. ,ang
narendra modi ji is a ray of hope for corruption filled karnataka. this election vote for bjp and bring back naavumodijothe government. naavumodijothe,hap
this election will decide the future of karnataka. it is about security of women the development of farmers. do not assume this is only about electing mlas it is much more than that pm narendra modi in kalaburagi karnatakaelections ,neu
pm narendra modi at the first of several public meetings for the upcoming karnatakaelection told the crowd in chamarajanagar district on tuesday that a bjp storm is coming to karnataka however the crowd began dispersing before he finished speaking ,sad
international survey reveals pm narendra modi is the most liked world leader on facebook ,hap
funfact  dmk youth leader is just year younger to narendra modi ,neu
battleforkarnataka  this election is about the future of karnatakas youth. it is about the fate of the states farmers pm narendra modi in gulbarga live updates ,neu
favorite scene from infinity war ,neu
never forget when tom holland accidentally revealed the infinity war poster ,sad
i saw infinity war yesterday and eee i hate you ,ang
the marvel fandom in a nutshell during infinity war ,sad
watching infinity war w krizia and shes boutta learn i cant shut up in movies and i know nothing abt the mcu. ,neu
lets not forget about groot putting his video game down to cut off his arm. thats true sacrifice. ,hap
the mvps of infinity war they were the true heroes. ,hap
if antman was in infinity war ,sad
vivo ipl knight riders vs super kingsrd match who will win tonight  favorite kkr retweet csk  kkrvcsk vivoipl ipl ipl ,neu
ipl csk vs kkr via ,neu
who do you think is going to win the game for his team today ipl kkr csk cricket ,neu
.sbadrinath reckons ambati rayudu has been the batsman of ipl thus far. do you agree csk ,hap
match day we are from kolkata but going eden to beat kolkata tonight  because csk is our emotion amp dhoni is our god  we are coming  whistlepodu yellove kkrvcsk ipl ,hap
  however fall back upon dwayne bravo yet again and with lungi ngidi also coming into the mix now  csk will hope to come up with a better performance. vivoperfectfan cmon vivoipl,sad
 best of luck lions hope we ll win today nd will continue to conquer thest position csk whistlepodu yellove,hap
vivo ipl knight riders vs super kingsrd match who will win tonight  favorite kkr retweet csk  kkrvcsk vivoipl ipl ipl ,neu
 sir i am big fan of yours plz sir csk k ek match me aap bolling kr lo plz sir aap bht achi bolling kae ho,hap
